Año,Ubicación,Cocaína (kg),Marihuana (kg),Sustancias Químicas Sólidas (kg),Sustancias Químicas Líquidas (L),Latitud,Longitud,País,Base de Coca (kg),Armas Incautadas,Laboratorios Destruidos,CASOS_x,HEROAINA_(KG),TOTAL_DROGAS_KG.,Intervenciones
2020,SANTANDER,797440.318,,,,7.1298,-73.1254,Colombia,0.0,1658.0,,,,,
2021,SANTANDER,354391.82,,,,7.1298,-73.1254,Colombia,0.0,1890.0,,,,,
2022,SANTANDER,448624.341,,,,7.1298,-73.1254,Colombia,118.66699,2045.0,,,,,
2023,SANTANDER,708549.737,,,,7.1298,-73.1254,Colombia,167.03731,3377.0,,,,,
2024,SANTANDER,354307.053,,,,7.1298,-73.1254,Colombia,108.25524,580.0,,,,,
2019,SUCRE,78840.298,,,,9.2719,-75.4268,Colombia,0.0,856.0,,,,,
2020,SUCRE,92260.44,,,,9.2719,-75.4268,Colombia,0.0,836.0,,,,,
2021,SUCRE,126736.514,,,,9.2719,-75.4268,Colombia,0.0,994.0,,,,,
2022,SUCRE,75664.418,,,,9.2719,-75.4268,Colombia,17.947,491.0,,,,,
2023,SUCRE,85334.429,,,,9.2719,-75.4268,Colombia,74.818,831.0,,,,,
2024,SUCRE,59084.105,,,,9.2719,-75.4268,Colombia,29.0955,152.0,,,,,
2019,TOLIMA,207497.274,,,,4.0925,-75.1545,Colombia,0.0,1050.0,,,,,
2020,TOLIMA,274648.492,,,,4.0925,-75.1545,Colombia,0.0,792.0,,,,,
2021,TOLIMA,195846.632,,,,4.0925,-75.1545,Colombia,0.0,808.0,,,,,
2022,TOLIMA,164317.005,,,,4.0925,-75.1545,Colombia,67.9611,836.0,,,,,
2023,TOLIMA,240627.718,,,,4.0925,-75.1545,Colombia,192.4333,1468.0,,,,,
2024,TOLIMA,85974.031,,,,4.0925,-75.1545,Colombia,86.677,253.0,,,,,
2019,VALLE DEL CAUCA,818001.266,,,,3.8005,-76.2923,Colombia,0.0,4528.0,,,,,
2020,VALLE DEL CAUCA,4610699.936,,,,3.8005,-76.2923,Colombia,0.0,3998.0,,,,,
2021,VALLE DEL CAUCA,589310.592,,,,3.8005,-76.2923,Colombia,0.0,4956.0,,,,,
2022,VALLE DEL CAUCA,616043.729,,,,3.8005,-76.2923,Colombia,524.79772,4512.0,,,,,
2023,VALLE DEL CAUCA,742022.711,,,,3.8005,-76.2923,Colombia,1920.96297,6502.0,,,,,
2024,VALLE DEL CAUCA,308720.413,,,,3.8005,-76.2923,Colombia,1301.8504,1176.0,,,,,
2019,VAUPES,5040.02,,,,0.8554,-70.812,Colombia,0.0,42.0,,,,,
2020,VAUPES,16227.646,,,,0.8554,-70.812,Colombia,0.0,14.0,,,,,
2021,VAUPES,5591.84,,,,0.8554,-70.812,Colombia,0.0,14.0,,,,,
2022,VAUPES,9768.64,,,,0.8554,-70.812,Colombia,0.368,30.0,,,,,
2023,VAUPES,16072.032,,,,0.8554,-70.812,Colombia,0.058,42.0,,,,,
2024,VAUPES,2508.0,,,,0.8554,-70.812,Colombia,0.0245,5.0,,,,,
2019,VICHADA,7495.172,,,,4.9201,-69.2878,Colombia,0.0,112.0,,,,,
2020,VICHADA,9838.226,,,,4.9201,-69.2878,Colombia,0.0,66.0,,,,,
2021,VICHADA,9015.47,,,,4.9201,-69.2878,Colombia,0.0,80.0,,,,,
2022,VICHADA,16183.405,,,,4.9201,-69.2878,Colombia,181.302,74.0,,,,,
2023,VICHADA,14034.997,,,,4.9201,-69.2878,Colombia,17.504,126.0,,,,,
2024,VICHADA,2812.423,,,,4.9201,-69.2878,Colombia,388.2423,5.0,,,,,
2023,AGUAS INTERNACIONALES,0.0,,,,,,Colombia,82.82,0.0,,,,,
2022,BOGOTA D.C.,0.0,,,,4.711,74.0721,Colombia,117.4578,0.0,,,,,
2023,BOGOTA D.C.,0.0,,,,4.711,74.0721,Colombia,115.0169,0.0,,,,,
2024,BOGOTA D.C.,0.0,,,,4.711,74.0721,Colombia,121.3019,0.0,,,,,
2019,AZUAY,,,8737.9,0.0,-2.8974,-79.0045,Ecuador,,,non,non,non,non,
2019,BOLIVAR,0.0,0.79,,,-1.5932,-79.0193,Ecuador,0.0,,non,0,1.08,1.9,
2019,CARCHI,,,10503.0,60.0,0.81,-77.8355,Ecuador,,,non,non,non,non,
2019,CAÑAR,0.24,2.38,,,-2.56,-78.94,Ecuador,0.0,,non,0,4.63,7.2,
2019,CHIMBORAZO,0.12,10.81,,,-1.6643,-78.6546,Ecuador,0.0,,non,0,16.71,27.6,
2019,COTOPAXI,,,7000.0,0.0,-0.8082,-78.8084,Ecuador,,,non,non,non,non,
2019,EL ORO,,,2587.62,8804.95,-3.2581,-79.9557,Ecuador,,,non,non,non,non,
2019,ESMERALDAS,,,0.0,3688.48,0.9682,-79.6517,Ecuador,,,non,non,non,non,
2019,GALAPAGOS,2.42,1.16,,,-0.9538,-90.9656,Ecuador,0.0,,non,0,11.44,15,
2019,GUAYAS,,,1492474.0,16894.44,-1.9426,-79.6971,Ecuador,,,non,non,non,non,
2019,IMBABURA,,,671061.0,760.0,0.353,-78.121,Ecuador,,,non,non,non,non,
2019,LOJA,0.02,19.14,,,-3.9931,-79.2042,Ecuador,0.0,,non,0,509.51,528.7,
2019,LOS RIOS,,,14600.0,0.0,-1.4998,-79.476,Ecuador,,,non,non,non,non,
2019,MANABI,6.62,100.78,,,-0.7423,-80.0932,Ecuador,0.79,,non,0,519.56,627.8,
2019,MORONA SANTIAGO,0.0,0.97,,,-2.9134,-78.2633,Ecuador,0.0,,non,0,351.68,352.6,
2019,NAPO,2.24,108.31,,,-0.9917,-77.8121,Ecuador,0.0,,non,0,95.78,206.3,
